1;1;0;8;
2;2;0;10;
3;3;0;12;
4;4;0;40;
5;5;0;23;
6;6;0;13;
7;7;0;8;
8;8;0;8;
9;9;0;50;
10;10;0;9;
11;11;0;12;
12;12;0;9;
13;13;0;8;
14;13;1;33;
15;14;1;14;
16;15;1;7;
17;16;1;8;
18;17;1;16;
19;17;2;14;
20;18;2;8;
21;19;2;8;
22;19;3;42;
23;20;3;8;
24;21;3;10;
25;22;3;16;
26;23;3;17;
27;24;3;35;
28;25;3;14;
29;25;4;35;
30;26;4;9;
31;27;4;8;
32;28;4;8;
33;29;4;16;
34;30;4;15;
35;31;4;9;
36;32;4;21;
37;33;4;12;
38;34;4;9;
39;35;4;20;
40;36;4;30;
41;37;4;10;
42;38;4;38;
43;39;4;9;
44;40;4;13;
45;41;4;8;
46;42;4;7;
47;43;4;11;
48;44;4;14;
49;45;4;12;
50;46;4;12;
51;47;4;9;
52;48;4;18;
53;49;4;14;
54;50;4;9;
55;51;4;16;
56;52;4;7;
57;52;5;40;
58;53;5;10;
59;54;5;10;
60;55;5;9;
61;56;5;7;
62;57;5;14;
63;58;5;8;
64;59;5;8;
65;59;6;23;
66;60;6;9;
67;61;6;20;
68;62;6;9;
69;63;6;8;
70;64;6;8;
71;65;6;9;
72;66;6;9;
73;67;6;18;
74;68;6;18;
75;69;6;8;
76;70;6;9;
77;71;6;25;
78;72;6;8;
79;73;6;20;
80;74;6;10;
81;75;6;29;
82;76;6;16;
83;77;6;30;
84;78;6;9;
85;79;6;36;
86;80;6;10;
87;81;6;12;
88;82;6;22;
89;83;6;25;
90;84;6;8;
91;85;6;13;
92;86;6;11;
93;87;6;25;
94;88;6;7;
95;89;6;24;
96;90;6;8;
97;91;6;17;
98;92;6;12;
99;93;6;8;
100;94;6;9;
101;95;6;13;
102;96;6;22;
103;97;6;31;
104;98;6;9;
105;99;6;16;
106;100;6;8;
107;101;6;10;
108;102;6;7;
109;103;6;20;
110;104;6;17;
111;105;6;13;
112;106;6;8;
113;107;6;9;
114;108;6;12;
115;109;6;8;
116;110;6;8;
117;111;6;33;
118;112;6;9;
119;113;6;28;
120;113;7;53;
121;114;7;15;
122;115;7;29;
123;116;7;14;
124;116;8;17;
125;117;8;16;
126;118;8;9;
127;119;8;9;
128;120;8;16;
129;121;8;7;
130;122;8;8;
131;123;8;9;
132;124;8;8;
133;125;8;8;
134;126;8;8;
135;127;8;8;
136;128;8;32;
137;129;8;34;
138;129;9;46;
139;130;9;8;
140;131;9;9;
141;132;9;13;
142;133;9;13;
143;134;9;8;
144;135;9;26;
145;135;10;52;
146;136;10;8;
147;137;10;8;
148;138;10;10;
149;139;10;10;
150;140;10;13;
151;141;10;12;
152;142;10;8;
153;143;10;13;
154;144;10;9;
155;145;10;28;
156;145;11;49;
157;146;11;20;
158;147;11;10;
159;148;11;13;
160;149;11;8;
161;150;11;9;
162;151;11;9;
163;152;11;24;
164;153;11;9;
165;154;11;9;
166;155;11;16;
167;156;11;9;
168;156;12;43;
169;157;12;14;
170;158;12;22;
171;159;12;12;
172;160;12;8;
173;161;12;12;
174;162;12;14;
175;163;12;8;
176;164;12;8;
177;165;12;25;
178;166;12;8;
179;167;12;16;
180;168;12;12;
181;169;12;30;
182;170;12;12;
183;171;12;9;
184;172;12;36;
185;173;12;8;
186;174;12;8;
187;175;12;9;
188;176;12;8;
189;177;12;18;
190;178;12;9;
191;179;12;17;
192;180;12;8;
193;181;12;7;
194;182;12;8;
195;183;12;18;
196;184;12;9;
197;185;12;9;
198;186;12;8;
199;187;12;13;
200;188;12;8;
